length,succeed,total,ratio
1,0,4,0
2,0,3,0
3,0,27,0
4,0,55,0
5,0,184,0
6,0,86,0
7,0,70,0
8,1,177,0.00565
9,0,64,0
10,2,57,0.035088
11,1,24,0.041667
12,0,49,0
13,3,15,0.2
14,0,25,0
15,6,30,0.2
16,4,57,0.070175
17,7,39,0.179487
18,3,46,0.065217
19,5,31,0.16129
20,4,23,0.173913
21,6,25,0.24
22,0,10,0
23,1,14,0.071429
24,2,12,0.166667
25,0,9,0
26,1,7,0.142857
27,9,71,0.126761
28,10,27,0.37037
29,9,18,0.5
30,13,59,0.220339
31,2,9,0.222222
32,2,7,0.285714
33,1,14,0.071429
34,4,10,0.4
35,5,10,0.5
36,4,16,0.25
37,0,15,0
38,0,3,0
39,13,32,0.40625
40,1,3,0.333333
41,4,14,0.285714
42,4,13,0.307692
43,4,7,0.571429
44,0,16,0
45,6,6,1
46,0,6,0
47,10,12,0.833333
48,46,67,0.686567
49,5,13,0.384615
50,0,7,0
51,1,2,0.5
52,0,3,0
53,0,2,0
54,1,3,0.333333
55,0,9,0
56,8,25,0.32
57,2,6,0.333333
58,10,18,0.555556
59,2,6,0.333333
60,4,5,0.8
61,1,3,0.333333
62,0,7,0
63,5,16,0.3125
64,1,6,0.166667
65,1,5,0.2
66,1,8,0.125
67,1,4,0.25
68,7,13,0.538462
69,0,3,0
70,17,32,0.53125
71,2,4,0.5
72,1,4,0.25
73,0,1,0
74,2,4,0.5
75,1,4,0.25
76,0,7,0
77,2,13,0.153846
78,0,2,0
79,0,4,0
81,5,7,0.714286
82,4,7,0.571429
83,0,1,0
84,82,171,0.479532
85,1,3,0.333333
86,1,4,0.25
87,1,1,1
88,3,3,1
89,1,2,0.5
90,9,21,0.428571
91,3,4,0.75
92,1,6,0.166667
93,0,1,0
94,1,8,0.125
95,1,3,0.333333
96,2,6,0.333333
97,10,20,0.5
99,4,7,0.571429
103,1,2,0.5
105,0,1,0
106,1,2,0.5
107,1,1,1
108,3,5,0.6
109,1,1,1
110,1,1,1
111,13,23,0.565217
112,3,9,0.333333
113,1,1,1
114,0,8,0
115,4,4,1
116,5,6,0.833333
117,1,3,0.333333
118,8,19,0.421053
120,2,5,0.4
121,0,1,0
122,0,1,0
123,0,1,0
126,0,1,0
128,0,2,0
129,1,2,0.5
130,3,10,0.3
131,3,4,0.75
134,1,1,1
135,2,2,1
136,18,19,0.947368
138,0,1,0
139,0,2,0
140,6,9,0.666667
141,1,1,1
142,3,3,1
143,1,1,1
147,4,5,0.8
148,0,1,0
153,1,4,0.25
154,1,2,0.5
156,0,1,0
158,2,2,1
159,1,1,1
160,1,2,0.5
161,1,1,1
163,2,2,1
164,1,1,1
169,1,2,0.5
179,1,1,1
183,2,2,1
184,0,1,0
188,0,1,0
192,1,2,0.5
203,0,2,0
220,26,27,0.962963
221,0,1,0
233,1,1,1
234,1,1,1
268,0,1,0
276,1,1,1
277,1,1,1
280,1,1,1
282,0,1,0
294,0,1,0
380,1,1,1
383,1,1,1
433,1,1,1
450,1,1,1
501,0,1,0
776,0,1,0
822,1,1,1
894,0,1,0
