seed,len
1,40
2,295
3,72
4,295
5,295
6,289
7,295
8,317
9,260
10,295
11,276
12,275
13,286
14,295
15,295
16,295
17,266
18,320
19,313
20,277
21,280
22,295
23,274
24,290
25,288
26,295
27,295
28,287
29,294
30,295
31,295
32,326
33,258
34,295
35,229
36,295
37,322
38,331
39,327
40,376
41,331
42,393
43,376
44,340
45,393
46,381
47,378
48,383
49,381
50,392
51,383
52,383
53,360
54,383
55,391
56,360
57,391
58,390
59,360
60,417
61,407
62,390
63,412
64,418
65,412
66,448
67,375
68,448
69,467
70,480
71,487
72,512
73,487
74,540
75,515
76,511
77,533
78,509
79,534
80,546
81,490
82,546
83,573
84,541
85,566
86,603
87,243
88,189
89,129
90,139
91,594
92,528
93,103
94,580
95,607
96,594
97,624
98,607
99,148
100,267
101,72
102,44
103,605
104,624
105,112
106,348
107,92
108,154
109,1
110,32
111,6
112,2
113,247
114,56
115,15
116,594
117,528
118,594
119,3
120,592
121,13
122,2
123,3
124,610
125,235
126,610
127,28
128,1
129,1
130,195
131,2
132,556
133,555
134,646
135,624
136,646
137,667
138,673
139,658
140,673
141,699
142,685
143,692
144,667
145,712
146,715
147,732
148,237
149,8
150,1
151,8
152,4
153,9
154,717
155,125
156,688
157,742
158,688
159,688
160,683
161,733
162,2
163,4
164,2
165,38
166,725
167,60
168,754
169,128
170,757
171,736
172,772
173,760
174,824
175,745
176,854
177,842
178,827
179,858
180,183
181,858
182,161
183,632
184,47
185,2
186,80
187,1
188,306
189,886
190,8
191,4
192,10
193,40
194,441
195,87
196,888
197,371
198,40
199,874
200,257
201,906
202,2
203,925
204,922
205,159
206,140
207,3
208,15
209,44
210,217
211,71
212,951
213,71
214,94
215,84
216,94
217,116
218,890
219,935
220,890
221,94
222,94
223,98
224,913
225,897
226,858
227,886
228,871
229,876
230,894
231,862
232,824
233,899
234,94
235,920
236,852
237,108
238,915
239,123
240,854
241,732
242,150
243,916
244,906
245,889
246,839
247,912
248,150
249,176
250,152
251,868
252,933
253,851
254,954
255,934
256,873
257,957
258,916
259,957
260,985
261,963
262,947
263,963
264,944
265,980
266,978
267,963
268,957
269,993
270,987
271,993
272,993
273,1020
274,1013
275,1034
276,994
277,1034
278,1064
279,987
280,1009
281,987
282,993
283,1006
284,987
285,133
286,1020
287,957
288,993
289,148
290,993
291,182
292,123
293,168
294,172
295,147
296,207
297,118
298,228
299,172
300,220
301,920
302,783
303,963
304,960
305,193
306,172
307,166
308,193
309,201
310,191
311,934
312,168
313,151
314,172
315,91
316,767
317,920
318,901
319,133
320,946
321,133
322,934
323,883
324,820
325,131
326,906
327,855
328,207
329,108
330,788
331,761
332,870
333,788
334,178
335,92
336,193
337,71
338,192
339,141
340,858
341,908
342,757
343,846
344,791
345,856
346,789
347,884
348,889
349,121
350,87
351,121
352,896
353,816
354,824
355,80
356,241
357,742
358,50
359,944
360,71
361,1
362,261
363,107
364,94
365,832
366,824
367,871
368,95
369,71
370,935
371,148
372,94
373,962
374,917
375,882
376,764
377,808
378,796
379,213
380,148
381,327
382,824
383,795
384,339
385,94
386,103
387,111
388,176
389,599
390,805
391,94
392,94
393,60
394,304
395,912
396,214
397,899
398,67
399,40
400,757
401,773
402,754
403,104
404,202
405,242
406,12
407,94
408,71
409,68
410,766
411,8
412,65
413,94
414,87
415,80
416,681
417,688
418,266
419,140
420,665
421,879
422,72
423,8
424,298
425,242
426,422
427,750
428,44
429,71
430,26
431,270
432,307
433,742
434,4
435,384
436,4
437,212
438,10
439,219
440,72
441,692
442,35
443,366
444,182
445,886
446,870
447,870
448,866
449,837
450,847
451,831
452,818
453,840
454,886
455,161
456,890
457,314
458,890
459,192
460,238
461,266
462,195
463,123
464,212
465,196
466,249
467,181
468,249
469,2
470,200
471,44
472,224
473,208
474,142
475,195
476,187
477,239
478,303
479,1
480,963
481,171
482,963
483,107
484,32
485,319
486,43
487,360
488,384
489,511
490,4
491,609
492,7
493,609
494,127
495,609
496,609
497,609
498,44
499,609
500,609
501,714
502,963
503,639
504,963
505,44
506,963
507,299
508,5
509,156
510,40
511,64
512,7
513,113
514,724
515,92
516,194
517,104
518,206
519,40
520,56
521,170
522,92
523,224
524,40
525,92
526,32
527,370
528,873
529,286
530,888
531,295
532,880
533,14
534,326
535,741
536,880
537,13
538,880
539,883
540,2
541,135
542,47
543,896
544,827
545,780
546,740
547,780
548,271
549,697
550,875
551,289
552,909
553,753
554,672
555,371
556,773
557,407
558,534
559,685
560,394
561,699
562,381
563,541
564,742
