seed,len
2,1
3,1
4,1
5,1
6,2
7,2
8,4
9,4
10,8
11,8
12,8
13,8
14,8
15,8
16,8
17,10
18,13
19,13
20,13
21,15
22,14
23,16
24,16
25,16
26,16
27,16
28,16
29,16
30,16
31,16
32,16
33,16
34,16
35,16
36,16
37,16
38,16
39,16
40,19
41,22
42,22
43,16
44,21
45,13
46,23
47,8
48,16
49,8
50,16
51,24
52,21
53,22
54,21
55,21
56,21
57,21
58,21
59,21
60,21
61,21
62,21
63,21
64,21
65,21
66,22
67,26
68,26
69,16
70,26
71,16
72,21
73,16
74,25
75,18
76,25
77,25
78,16
79,15
80,21
81,24
82,16
83,27
84,27
85,27
86,26
87,27
88,26
89,26
90,26
91,24
92,28
93,28
94,28
95,28
96,28
97,28
98,28
99,28
100,28
101,28
102,29
103,29
104,29
105,29
106,29
107,29
108,29
109,30
110,30
111,29
112,30
113,29
114,29
115,28
116,30
117,29
118,30
119,28
120,30
121,30
122,30
123,26
124,30
125,25
126,8
127,24
128,27
129,31
130,26
131,8
132,26
133,30
134,26
135,26
136,26
137,10
138,30
139,24
140,16
141,20
142,16
143,15
144,24
145,28
146,20
147,20
148,4
149,26
150,8
151,12
152,24
153,16
154,8
155,30
156,7
157,14
158,15
159,27
160,25
161,16
162,6
163,14
164,13
165,8
166,9
167,14
168,14
169,24
170,8
171,9
172,24
173,22
174,16
175,16
176,6
177,19
178,12
179,11
180,3
181,8
182,18
183,8
184,15
185,13
186,19
187,15
188,5
189,13
190,24
191,11
192,6
193,24
194,16
195,8
196,14
197,28
198,4
199,14
200,6
201,8
202,16
203,30
204,29
205,8
206,6
207,3
208,8
209,16
210,8
211,15
212,13
213,24
214,24
215,24
216,20
217,32
218,32
219,32
220,32
221,1
222,2
223,4
224,18
225,2
226,3
227,22
228,2
229,4
230,3
231,2
232,16
233,4
234,14
235,3
236,2
237,14
238,29
239,16
240,27
241,28
242,16
243,26
244,1
245,26
246,2
247,26
248,3
249,2
250,6
251,4
252,1
253,1
254,13
255,28
256,4
257,28
258,12
259,28
260,28
261,28
262,28
263,33
264,33
265,1
266,29
267,29
268,27
269,29
270,27
271,29
272,14
273,22
274,2
275,1
276,2
277,4
278,12
279,16
280,2
281,4
282,3
283,7
284,16
285,14
286,25
287,26
288,4
289,32
290,29
291,29
292,27
293,16
294,7
295,12
296,16
297,4
298,32
299,24
300,3
301,16
302,1
303,8
304,4
305,3
306,2
307,28
308,21
309,15
310,12
311,8
312,5
313,6
314,28
315,5
316,26
317,23
318,8
319,27
320,29
321,1
