seed,len
1,-1
2,-1
3,-1
4,-1
5,-1
6,-1
7,-1
8,-1
9,-1
10,-1
11,-1
12,-1
13,-1
14,-1
15,-1
16,-1
17,-1
18,-1
19,-1
20,-1
21,-1
22,-1
23,-1
24,-1
25,-1
26,-2
27,-2
28,-1
29,-1
30,-2
31,-2
32,-1
33,-1
34,-1
35,-1
36,-1
37,-1
38,-1
39,-1
40,-1
41,-1
42,-1
43,-1
44,-1
45,-2
46,-2
47,-2
48,-2
49,-2
50,-2
51,-2
52,-2
53,-2
54,-2
55,-1
56,-2
57,-2
58,-2
59,-2
60,-2
61,-2
62,-2
63,-2
64,-2
65,-2
66,-2
67,-2
68,-2
69,-2
70,-2
71,-2
72,-2
73,-2
74,-2
75,-2
76,-2
77,-2
78,-2
79,-3
80,-2
81,-2
82,-2
83,-2
84,-2
85,-2
86,-2
87,-3
88,-2
89,-2
90,-2
91,-3
92,-3
93,-3
94,-3
95,-2
96,-2
97,-2
98,-2
99,-3
100,-2
101,-2
102,-2
103,-2
104,-2
105,-3
106,-2
107,-2
108,-3
109,-3
110,-2
111,-3
112,-3
113,-3
114,-3
115,-2
116,-3
117,-3
118,-3
119,-2
120,-3
121,-3
122,-2
123,-2
124,-2
125,-2
126,-2
127,-2
128,-2
129,-2
130,-2
131,-2
132,-2
133,-2
134,-3
135,-3
136,-2
137,-2
138,-3
139,-2
140,-2
141,-2
142,-3
143,-3
144,-3
145,-3
146,-3
147,-3
148,-3
149,-2
150,-2
151,-2
152,-3
153,-3
154,-3
155,-3
156,-2
157,-3
158,-4
159,-3
160,-3
161,-3
162,-3
163,-3
164,-3
165,-3
166,-3
167,-3
168,-3
169,-3
170,-4
171,-4
172,-4
173,-3
174,-3
175,-3
176,-3
177,-3
178,-3
179,-3
180,-3
181,-3
182,-4
183,-3
184,-3
185,-3
186,-3
187,-3
188,-3
189,-3
190,-5
191,-3
192,-3
193,-4
194,-3
195,-5
196,-4
197,-3
198,-5
199,-5
200,-5
201,-3
202,-3
203,-3
204,-3
205,-3
206,-3
207,-3
208,-3
209,-3
210,-4
211,-4
212,-3
213,-5
214,-3
215,-4
216,-3
217,-3
218,-3
219,-4
220,-3
221,-3
222,-3
223,-3
224,-3
225,-4
226,-4
227,-5
228,-3
229,-3
230,-4
231,-4
232,-3
233,-4
234,-4
235,-4
236,-5
237,-4
238,-4
239,-4
240,-4
241,-4
242,-3
243,-5
244,-3
245,-4
246,-6
247,-3
248,-3
249,-3
250,-3
251,-3
252,-4
253,-4
254,-3
255,-3
256,-4
257,-5
258,-3
259,-3
260,-4
261,-5
262,-4
263,-3
264,-3
265,-3
266,-3
267,-4
268,-4
269,-3
270,-4
271,-3
272,-4
273,-4
274,-3
275,-4
276,-4
277,-4
278,-4
279,-4
280,-4
281,-4
282,-4
283,-4
284,-4
285,-4
286,-4
287,-5
288,-4
289,-3
290,-3
291,-4
292,-5
293,-5
294,-4
295,-4
296,-4
297,-4
298,-6
299,-4
300,-4
301,-4
302,-3
303,-6
304,-4
305,-4
306,-4
307,-3
308,-4
309,-4
310,-6
311,-6
312,-4
313,-4
314,-4
315,-4
316,-4
317,-6
318,-4
319,-4
320,-4
321,-4
322,-4
323,-6
324,-5
325,-4
326,-5
327,-4
328,-4
329,-6
330,-4
331,-5
332,-4
333,-5
334,-4
335,-4
336,-4
337,-5
338,-4
339,-5
340,-4
341,-4
342,-4
343,-6
344,-6
345,-4
346,-4
347,-6
348,-4
349,-4
350,-4
351,-6
352,-5
353,-4
354,-4
355,-4
356,-6
357,-4
358,-4
359,-4
360,-5
361,-6
362,-4
363,-4
364,-4
365,-6
366,-6
367,-5
368,-5
369,-5
370,-4
371,-5
372,-6
373,-5
374,-4
375,-5
376,-7
377,-5
378,-5
379,-4
380,-4
381,-4
382,-6
383,-5
384,-4
385,-6
386,-4
387,-5
388,-7
389,-4
390,-5
391,-4
392,-5
393,-4
394,-6
395,-5
396,-4
397,-5
398,-4
399,-4
400,-7
401,-5
402,-4
403,-5
404,-4
405,-4
406,-5
407,-6
408,-5
409,-5
410,-5
411,-5
412,-5
413,-4
414,-5
415,-5
416,-5
417,-5
418,-7
419,-5
420,-5
421,-5
422,-5
423,-4
424,-8
425,-4
426,-5
427,-4
428,-4
429,-5
430,-5
431,-5
432,-6
433,-5
434,-5
435,-8
436,-7
437,-6
438,-8
439,-5
440,-5
441,-6
442,-5
443,-4
444,-7
445,-6
446,-7
447,-6
448,-5
449,-8
450,-5
451,-6
452,-7
453,-9
454,-9
455,-5
456,-6
457,-5
458,-7
459,-5
460,-6
461,-6
462,-8
463,-6
464,-5
465,-6
466,-6
467,-7
468,-6
469,-8
470,-5
471,-7
472,-6
473,-6
474,-6
475,-6
476,-6
477,-5
478,-8
479,-6
480,-9
481,-9
