length,succeed,total,ratio
1,0,1,0
3,0,3,0
4,0,3,0
5,0,1,0
10,0,1,0
11,0,1,0
12,0,1,0
37,0,1,0
40,0,1,0
64,0,5,0
72,0,1,0
84,2,3,0.666667
87,3,3,1
88,1,3,0.333333
91,0,1,0
92,3,7,0.428571
95,2,5,0.4
96,67,97,0.690722
97,0,2,0
100,3,3,1
112,4,6,0.666667
115,0,1,0
117,1,2,0.5
119,1,2,0.5
120,8,11,0.727273
121,1,1,1
128,7,13,0.538462
135,1,2,0.5
136,5,8,0.625
138,0,1,0
144,1,3,0.333333
146,0,1,0
147,8,12,0.666667
148,0,1,0
163,0,1,0
174,0,1,0
181,1,1,1
186,0,1,0
188,1,1,1
210,0,1,0
223,1,1,1
228,0,1,0
304,1,1,1
336,1,1,1
368,1,1,1
399,1,1,1
412,1,1,1
462,2,2,1
519,2,2,1
536,6,6,1
540,2,2,1
587,1,1,1
615,3,3,1
637,1,1,1
652,1,1,1
663,2,2,1
664,1,1,1
676,1,1,1
690,1,1,1
696,2,2,1
717,1,1,1
718,1,1,1
744,1,1,1
765,1,1,1
766,1,1,1
775,2,2,1
838,1,1,1
862,2,2,1
885,1,1,1
925,1,1,1
979,2,2,1
991,1,1,1
992,1,1,1
