length,trace_bit
4,246
46,106
72,307
80,231
86,188
90,259
91,198
92,179
94,149
95,216
97,144
98,223
100,180
101,161
103,253
104,163
106,125
108,131
109,276
111,177
112,123
113,158
114,109
115,151
116,179
117,166
118,184
119,184
120,194
121,140
122,199
123,225
125,175
126,175
127,216
128,200
129,181
130,150
131,189
132,169
133,180
134,179
135,167
136,211
137,176
138,214
139,186
140,204
141,145
142,344
143,173
144,185
145,176
146,197
147,169
148,184
149,276
150,137
151,268
152,276
153,103
154,187
155,162
156,245
157,357
158,206
159,231
160,219
161,137
162,222
163,218
164,247
166,176
167,139
168,119
169,189
170,420
171,241
174,249
175,209
176,187
177,161
179,296
180,168
181,223
183,241
184,145
185,138
186,214
187,177
188,198
189,268
190,159
191,142
192,163
193,378
194,247
195,248
196,133
197,153
198,199
199,165
200,253
201,141
202,231
203,211
204,236
205,263
206,116
208,206
209,254
210,102
211,228
212,251
213,169
214,231
215,133
216,237
218,213
219,123
220,195
222,199
223,265
224,225
225,105
226,185
227,235
228,192
229,268
230,282
231,373
232,188
233,213
235,249
237,150
238,127
240,312
241,311
244,145
245,318
247,347
248,238
250,387
251,223
252,139
253,182
255,234
256,181
259,228
260,208
261,245
262,268
263,155
264,261
265,196
266,213
267,248
268,172
269,258
271,188
272,281
274,179
275,223
276,119
277,219
278,352
279,145
280,292
281,260
282,216
283,240
284,268
285,226
286,248
287,276
288,289
289,243
290,194
291,338
292,295
293,208
294,216
295,216
296,236
297,147
298,188
300,232
301,204
302,227
303,156
304,281
305,173
306,252
307,260
309,260
310,326
311,185
312,147
313,288
314,215
315,134
316,212
317,268
318,280
319,184
320,257
321,390
322,329
323,218
324,277
325,244
326,220
329,253
334,210
335,224
336,329
339,220
340,104
345,273
346,100
348,179
349,283
350,309
351,390
352,246
353,253
354,384
355,242
358,178
359,171
360,225
361,126
362,184
363,144
366,243
368,374
369,216
370,189
372,190
373,281
374,268
375,247
376,259
377,204
378,120
379,126
380,228
381,237
382,307
383,249
384,306
385,299
386,427
387,196
388,191
389,248
390,313
391,246
394,118
395,120
398,343
399,362
400,283
401,276
402,259
403,290
405,296
406,204
407,157
408,126
409,262
410,240
411,230
412,325
413,236
414,188
415,182
416,132
417,294
418,152
419,179
420,276
422,411
424,176
425,203
426,365
429,216
431,239
432,199
433,237
434,373
435,184
436,373
437,306
438,226
439,105
441,105
443,183
444,230
445,278
446,364
448,249
449,253
450,342
453,255
456,245
457,243
460,340
461,227
463,377
464,239
465,196
466,299
467,136
469,279
470,123
471,210
472,178
474,381
476,270
477,113
478,257
480,293
482,168
483,223
484,335
487,359
488,265
489,340
490,430
491,292
492,349
493,120
494,201
500,354
503,169
504,223
505,295
510,398
511,131
512,229
514,246
518,185
519,220
521,138
523,320
525,302
526,246
528,314
530,183
531,182
532,264
533,140
534,341
535,119
537,210
539,191
540,259
541,227
543,282
544,380
545,248
546,290
548,307
549,241
550,420
551,215
552,106
553,247
554,379
555,135
559,150
561,268
563,138
565,236
567,159
568,315
573,265
574,107
575,137
577,240
584,272
585,393
589,244
593,361
596,223
597,118
604,192
608,240
611,180
617,308
625,399
628,331
650,240
651,175
659,161
666,168
724,400
728,198
742,230
745,260
748,253
760,250
767,160
792,229
805,135
809,172
811,115
813,157
817,99
818,362
862,331
869,260
883,266
906,285
954,265
985,371
991,349
