length,succeed,total,ratio
1,0,10,0
2,0,10,0
3,0,10,0
4,0,10,0
5,0,10,0
6,0,1,0
8,0,2,0
16,0,21,0
20,0,10,0
50,6,162,0.037037
52,0,2,0
60,20,26,0.769231
76,18,23,0.782609
84,0,5,0
90,1,1,1
92,3,11,0.272727
98,9,9,1
100,4,17,0.235294
107,1,1,1
108,1,4,0.25
112,2,2,1
114,520,719,0.723227
115,38,60,0.633333
116,105,134,0.783582
120,1,1,1
124,1,1,1
128,7,17,0.411765
131,8,10,0.8
132,1,1,1
136,5,5,1
143,1,2,0.5
156,2,2,1
160,1,1,1
171,12,25,0.48
172,1,14,0.071429
174,0,5,0
176,0,5,0
180,15,15,1
187,1,1,1
188,53,53,1
200,3,9,0.333333
204,3,3,1
206,1,1,1
207,2,2,1
208,136,137,0.992701
212,2,19,0.105263
224,5,5,1
227,1,1,1
228,1,1,1
232,0,5,0
244,0,2,0
248,1,1,1
252,2,4,0.5
256,1,1,1
260,14,14,1
268,129,129,1
276,2,2,1
284,1,1,1
292,5,5,1
295,5,5,1
296,81,81,1
316,0,1,0
336,1,1,1
340,2,2,1
348,1,1,1
356,1,1,1
359,3,3,1
360,90,90,1
363,2,2,1
364,1,1,1
368,1,1,1
369,1,1,1
372,5,5,1
385,4,4,1
386,2,2,1
388,5,5,1
412,1,1,1
428,1,1,1
448,7,7,1
475,4,4,1
476,53,53,1
484,1,1,1
512,1,1,1
540,1,1,1
555,2,2,1
568,2,2,1
588,1,1,1
592,2,2,1
604,1,1,1
628,20,20,1
656,1,1,1
748,2,2,1
772,0,2,0
788,0,2,0
864,1,1,1
904,1,1,1
928,1,1,1
988,3,3,1
