length,trace_bit
1,863
2,899
3,1066
4,991
5,1026
6,896
7,1100
8,1117
9,947
10,1388
11,1188
12,1103
13,1266
14,969
15,906
16,919
17,1287
18,1134
19,1232
20,1013
21,979
22,1508
23,872
24,1237
25,1423
26,1113
27,1113
28,990
29,1035
30,1164
31,1071
32,1362
33,1365
34,1472
35,788
36,1282
37,1511
38,1567
39,1057
40,1129
41,900
42,1243
43,1302
44,1345
45,1281
46,1278
47,1175
48,1339
49,1615
50,1432
51,1307
52,1213
53,1277
54,1860
55,1425
56,1807
57,1711
58,1599
59,1468
60,1371
61,1812
62,1338
63,1404
64,1469
65,1350
66,1556
67,1396
68,1493
69,1489
70,1230
71,1264
72,1283
73,1533
74,1231
75,1440
76,1416
77,1540
78,1413
79,1463
80,1596
81,1536
82,1798
83,1507
84,1134
85,1451
86,1533
87,1320
88,1262
89,1228
90,1322
91,1357
92,1566
93,1594
94,1410
95,1780
96,1701
97,1593
98,1425
99,1507
100,1423
101,1632
102,1746
103,1416
104,1506
105,1842
106,1277
107,2179
108,1669
109,1085
110,1566
111,1216
112,1087
113,1401
114,1724
115,1571
116,2486
117,1153
118,1730
119,1503
120,1610
121,2021
122,1541
123,1428
124,1546
125,1788
126,899
127,1626
128,1711
129,2172
130,925
131,1202
132,2064
134,1642
135,2105
136,1856
137,1820
138,1507
139,2231
140,2138
141,1669
142,2111
143,1233
144,1388
145,1337
146,2075
147,1338
148,1581
149,1678
151,619
152,729
153,1453
154,1922
155,1713
156,1168
157,1448
158,602
159,1706
160,1290
161,2006
162,1403
164,1247
165,1165
167,1948
168,1417
170,1938
172,1592
173,1690
174,1823
175,1327
176,1123
177,2243
178,1431
181,1719
183,1553
184,1730
185,2164
186,1403
187,2000
188,1170
190,1382
191,2458
193,1584
194,1582
195,1707
199,1329
200,1709
202,1606
203,1138
204,2184
205,648
207,1588
208,2036
210,1992
211,2138
212,1230
214,1702
215,2644
218,1573
219,1731
222,2445
225,2465
227,1063
231,1713
232,1694
233,1008
236,1978
237,2204
238,2419
239,1987
241,1898
244,2136
245,1618
246,617
247,1502
248,2262
249,1687
254,1586
256,1803
257,1306
258,2436
259,2215
261,1996
262,2361
263,2323
264,1778
265,2042
266,1464
267,969
270,1681
271,1624
274,1358
275,1886
276,2200
277,2168
278,1641
280,1695
281,1409
285,2066
286,1797
289,2150
290,2412
293,1375
295,2176
296,1655
303,1101
305,2004
307,1103
308,2293
310,1928
311,1159
314,2179
315,1496
319,2320
323,2301
324,2512
328,2598
331,1870
333,1428
335,1756
346,999
347,2116
351,1481
353,1020
355,978
359,1906
365,1540
366,1542
368,2467
371,2295
373,697
377,1269
380,2385
387,2042
388,1078
394,964
396,1231
397,1551
399,2306
401,2207
407,1567
413,2201
417,1278
422,1292
424,1868
425,2520
426,2637
431,2438
432,2418
435,2377
447,1537
453,1272
454,2390
459,1655
468,2393
473,982
475,1687
479,1382
481,2598
489,1748
490,1025
492,1156
493,1689
494,681
511,1345
512,2428
515,2190
532,2284
546,2489
547,2553
554,1191
559,1642
561,1742
565,588
574,1799
578,2203
584,2606
606,2629
610,699
615,629
618,1222
621,1891
624,1054
630,1983
635,594
641,2192
644,1394
646,663
669,1695
670,1899
681,2014
682,2656
685,1541
697,2195
713,1988
726,1238
766,1647
795,2421
807,2287
843,2410
850,2653
852,1120
867,1846
871,1536
876,1189
887,2651
927,1877
942,1745
943,2538
948,1718
955,1261
