length,succeed,total,ratio
1,2,2,1
2,7,7,1
3,3,3,1
4,6,7,0.857143
5,1,1,1
6,2,2,1
7,1,1,1
8,2,2,1
10,1,1,1
12,1,1,1
13,4,6,0.666667
14,1,1,1
16,1,2,0.5
17,2,3,0.666667
18,1,1,1
19,1,1,1
20,9,10,0.9
21,1,1,1
23,5,6,0.833333
24,5,5,1
25,4,4,1
28,2,2,1
29,2,2,1
33,11,11,1
34,3,3,1
35,1,2,0.5
36,5,5,1
38,1,1,1
39,1,1,1
40,7,8,0.875
44,2,3,0.666667
45,2,2,1
46,3,4,0.75
47,1,1,1
48,2,3,0.666667
49,4,4,1
50,5,5,1
52,4,4,1
53,1,1,1
55,1,1,1
56,4,4,1
57,1,1,1
58,2,3,0.666667
59,2,2,1
60,8,8,1
61,1,1,1
62,2,2,1
63,3,3,1
64,15,17,0.882353
65,1,1,1
67,1,1,1
68,3,3,1
70,2,3,0.666667
71,3,4,0.75
76,5,5,1
79,1,1,1
80,6,8,0.75
81,1,1,1
82,1,1,1
83,1,1,1
84,5,5,1
85,1,1,1
87,2,3,0.666667
90,1,1,1
92,1,1,1
94,1,1,1
95,5,5,1
96,1,1,1
97,2,2,1
101,2,2,1
103,2,2,1
104,2,2,1
107,0,1,0
108,6,6,1
109,0,1,0
110,1,2,0.5
112,0,1,0
113,2,3,0.666667
114,4,4,1
115,1,2,0.5
116,1,1,1
119,3,3,1
120,2,2,1
121,1,3,0.333333
122,3,6,0.5
123,1,1,1
124,1,4,0.25
126,1,3,0.333333
127,2,3,0.666667
128,1,3,0.333333
129,1,1,1
135,1,1,1
139,3,3,1
140,1,2,0.5
144,4,4,1
146,14,29,0.482759
148,2,2,1
150,0,1,0
151,0,1,0
152,3,3,1
153,1,1,1
154,2,2,1
155,4,4,1
158,1,2,0.5
160,0,2,0
161,3,3,1
162,1,1,1
164,6,10,0.6
168,1,1,1
173,1,1,1
174,1,2,0.5
177,1,1,1
181,1,1,1
186,1,1,1
195,1,2,0.5
204,0,1,0
214,1,1,1
220,1,1,1
228,0,1,0
235,1,1,1
241,1,1,1
252,1,1,1
253,1,1,1
256,1,1,1
260,1,1,1
263,0,1,0
264,5,5,1
268,0,2,0
269,1,1,1
272,1,1,1
281,0,1,0
283,0,1,0
291,0,2,0
292,1,2,0.5
293,2,2,1
295,6,10,0.6
298,0,1,0
303,1,1,1
308,0,1,0
310,1,1,1
320,1,1,1
348,1,1,1
352,0,1,0
360,0,1,0
366,0,1,0
368,0,1,0
374,3,3,1
379,1,1,1
382,1,1,1
393,1,1,1
399,1,1,1
408,2,2,1
413,0,2,0
442,1,1,1
509,1,1,1
511,1,1,1
520,1,1,1
531,1,1,1
603,0,1,0
613,1,1,1
614,0,1,0
641,6,16,0.375
652,0,1,0
692,1,1,1
709,1,1,1
731,1,1,1
770,1,1,1
792,0,1,0
869,1,1,1
909,0,1,0
