seed,crash,tb
0,1,457
1,1,1046
2,1,1301
3,1,1301
4,1,1293
5,1,1547
6,1,1553
7,1,1204
8,1,1181
9,1,1154
10,1,1138
11,1,1382
12,1,1381
13,1,1568
14,1,1594
15,1,1599
16,1,1660
17,1,1647
18,1,1691
19,1,1917
20,1,1870
21,1,2007
22,1,2099
23,1,2202
24,1,2123
25,1,2120
26,1,2171
27,1,2091
28,1,2228
29,1,2418
30,1,2119
31,1,2481
32,1,2455
33,1,2529
34,1,2525
35,1,2602
36,1,2593
37,1,2612
38,1,2698
39,1,2647
40,1,2711
41,1,2709
42,1,2738
43,1,2736
44,1,2790
45,1,2768
46,1,2897
47,1,2796
48,1,2879
49,1,2937
50,1,2944
51,1,2953
52,1,2938
53,1,2955
54,1,3638
55,1,2976
56,1,3008
57,1,2964
58,1,3009
59,1,3010
60,1,2996
61,1,3018
62,1,3020
63,1,3024
64,1,3039
65,1,3696
66,1,3035
67,1,3048
68,1,3049
69,1,3040
70,1,3045
71,1,3048
72,1,3049
73,1,3044
74,1,3045
75,1,3053
76,1,3049
77,1,3058
78,1,3044
79,1,3059
80,1,3051
81,1,3059
82,1,3059
83,1,3046
84,1,3057
85,1,3072
86,1,3087
87,1,3065
88,1,3089
89,1,3077
90,1,3127
91,1,3105
92,1,3130
93,1,3125
94,1,3123
95,1,3124
96,1,3124
97,1,3119
98,1,3114
99,1,3105
100,1,3092
101,1,3093
102,1,3088
103,1,3088
104,1,3088
105,1,3107
106,1,3101
107,1,3093
108,1,3085
109,1,3062
110,1,3083
111,1,3079
112,1,3074
113,1,3077
114,1,3056
115,1,3053
116,1,3046
117,1,3053
118,1,3057
119,1,3059
120,1,3053
121,1,3053
122,1,3055
123,1,3027
124,1,2999
125,1,3005
126,1,3017
127,1,2999
128,1,3026
129,1,3046
130,0,3034
131,1,3032
132,0,3042
133,1,3020
134,1,3006
135,1,3011
136,0,2985
137,1,3004
138,1,3048
139,1,3001
140,1,3047
141,1,2986
142,1,3046
143,1,3044
144,1,3085
145,1,3081
146,1,3099
147,1,3093
148,1,3092
149,1,3107
150,1,3107
151,1,3117
152,1,3110
153,1,3100
154,1,3102
155,1,3103
156,1,3113
157,1,3114
158,1,3108
159,1,3106
160,1,3132
161,1,3135
162,1,3153
163,1,3133
164,1,3157
165,1,3145
166,1,3821
167,1,3155
168,1,3160
169,1,3162
170,1,3155
171,1,3158
172,1,3082
173,1,3160
174,1,3166
175,1,3169
176,1,3168
177,1,3852
178,1,3176
179,1,3180
180,1,3180
181,1,3194
182,1,3179
183,1,668
184,1,3203
185,1,3196
186,1,3202
187,1,680
188,1,698
189,1,3203
190,1,3203
191,1,3201
192,1,3202
193,1,3203
194,1,3203
195,1,3202
196,1,3201
197,1,3201
198,1,3201
199,1,3203
200,1,3196
