0,1,2,3,4,5,6,7,8,9,10
1343,1656,1703,1703,1937,2078,3234,2890,2593,9515,332000
1296,1625,1625,1765,1828,2109,1999,2953,6046,8062,41140
1312,1296,1671,1656,2031,2171,2437,3265,1265,13953,39250
1312,1296,1609,1734,1828,2062,2953,3874,1296,18874,204249
1281,1328,1703,1671,1718,1906,2875,1296,1296,6093,27593
1281,1312,1687,1718,1796,1937,2421,1281,1125,13468,1375
1156,1281,1718,1703,1718,2015,3624,1312,1281,17374,35390
1281,1281,1703,2093,1781,2015,2796,1312,1265,1312,41890
1281,1265,1625,1859,1484,2562,4624,1265,1296,20749,81562
1265,1781,1718,1875,1796,2468,3984,3124,1937,27984,77781
1140,1531,1687,1859,1671,2046,3140,3281,4015,32631,3374
1250,1765,1703,2015,1718,1937,3484,2562,4140,19546,202703
1296,1781,2046,1718,1687,1687,5343,5343,4500,9843,28515
1125,1781,2046,1734,1781,2218,2796,1296,6984,1265,93093
1281,1765,1999,1656,1484,2468,3781,7355,5156,1312,299750
1296,1734,2109,1703,1593,2890,2312,7781,7625,1109,165500
1250,1750,2078,1672,1765,3328,2625,5578,8312,1281,21328
1312,1750,1265,1703,1953,1812,2953,4562,14218,1312,89562
1296,1203,1109,1750,1937,2999,2859,3890,14171,1328,143718
1281,1203,2000,1718,1937,3312,3187,2999,12125,18890,37453
1281,1218,1984,1812,2062,2203,2390,3812,12328,11781,60812
1250,1062,1765,1703,2015,1312,2749,2687,6390,22359,52874
1281,1984,1109,1718,2062,2453,2859,3062,2843,8140,252312
1156,1578,1281,1703,2015,2390,2453,6124,5578,22952,80328
1312,1562,1265,2531,1515,2046,2343,3171,6859,1328,77562
1281,1796,1296,2859,1781,1984,2640,2828,6765,18750,145874
1312,1546,1281,1781,1890,1328,3687,3187,8000,20484,84359
1296,1265,1640,1984,1828,1296,5546,2703,5406,11421,249859
1312,1578,2062,1703,1578,1296,2562,5515,7906,27406,106656
3218,1562,1203,2828,1781,1296,2984,4468,9843,13234,104078
1265,1515,1203,1828,2265,1296,3140,7343,9343,10109,50374
1296,1750,1750,1656,2000,1281,4000,5515,7171,8343,167421
1296,1984,1640,1984,1749,1281,4093,3984,19156,7265,60125
1343,1843,1125,2015,2218,2906,2500,3984,3156,10281,80562
1328,1625,1656,1281,2265,2156,3234,4921,1281,10187,581125
1328,1515,1796,1734,1859,1281,2750,3031,8437,46687,46875
1296,1781,1859,1812,1312,2671,2968,4390,8078,29406,26874
1296,1796,1296,3312,1281,3203,2937,4765,4453,36359,49859
1281,1593,1796,1781,1875,2656,3593,2500,8875,18203,64906
1296,1296,1437,1781,2312,1312,3609,6718,5875,13640,109859
1296,1125,1843,1968,1281,4187,2937,3421,8203,12859,37437
