0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36
213,592,541,356,509,2395,1166,644,13934,439,423,361,5702,1419,2085,438,4660,1691,353,2199,2316,2767,10063,6207,2155,382,20053,1014,1159,24440,5368,24210,6046,75161,15612,35955,884
583,12364,685,1657,354,2401,278,485,658,450,474,441,1409,2101,995,5482,4561,1688,12350,998,4500,9911,4928,6711,1870,2433,25438,5946,4093,2589,24054,26547,86096,880,10613,27832,1776
226,421,1064,1575,754,2353,1429,271,702,429,358,445,656,1704,1889,4995,4883,1500,42404,5902,582,2860,9496,1946,1831,2209,7136,2269,1163,9624,23252,25737,22346,106744,11099,696,1471
23083,564,1381,696,582,2177,13181,593,351,365,1464,482,661,545,681,5237,1343,6765,2372,2327,2334,3015,6692,5789,2140,25291,12735,1374,1032,22102,5187,25844,58424,3503,1403,13615,1207
670,692,336,650,492,2552,1593,313,2962,459,463,478,653,96326,1450,5635,827,1605,3345,2173,1078,8487,2924,5420,1642,4339,1224,12816,1175,1037,22106,25455,56972,68136,13813,1285,1025
263,12536,789,587,1603,2324,1765,1553,637,425,432,457,566,723,2340,5572,644,2803,5039,2010,2055,2772,284,5531,9936,10402,1105,1143,14786,595,23143,25445,61179,62751,2166,884,1009
235,200,1503,506,665,2374,594,499,690,440,444,2747,712,633,2472,7011,1497,966,716,2292,1578,3192,3738,5424,830,860,1183,2165,1147,10624,22703,25996,53572,61582,26536,29692,1067
215,236,702,1211,2322,2334,417,744,1611,432,1430,450,581,1627,5068,5662,4951,3551,2967,2435,2704,410,576,4913,3313,576,1864,12295,1016,667,27973,24245,6769,7424,14634,24863,760
220,607,384,329,439,2411,1562,1522,655,594,445,667,692,688,2813,1242,4209,1029,10123,2429,2925,738,11693,455,4966,6384,21230,5515,14607,3571,292,25296,5718,957,9563,26899,781
58318,572,12616,1535,500,2424,1560,555,437,444,441,461,645,681,2695,4953,5904,1491,2762,2109,1425,915,1160,5376,10256,502,2387,6907,1007,3696,1406,23020,5575,29903,34874,8299,1296
250,698,655,542,537,2328,547,498,3367,350,431,419,4553,4157,1520,4660,347,1696,3027,1996,2245,3113,5178,4516,1313,974,853,6545,3086,672,2676,26067,5733,978,10337,1724,1261
207,377,424,1333,2371,2326,1547,553,2935,419,422,474,13723,859,5423,4919,2470,1484,2870,939,2553,1014,514,3596,2217,607,4683,5556,1177,1408,1092,23815,1545,1067,1154,24706,2524
261,449,824,794,746,2416,1421,566,665,914,358,971,558,12166,2734,5466,4561,1679,2465,526,2360,3270,8019,6188,3534,2533,1022,677,1003,843,1328,23907,6276,1084,10360,29919,774
12804,297,362,1047,541,2367,503,938,689,427,1525,750,1522,669,1348,390,1727,1815,2956,4165,2972,2828,1233,5043,1969,12094,705,1749,1009,843,4152,26206,38270,991,11175,25102,893
54063,620,536,333,663,2132,1656,629,558,780,501,422,555,2317,1360,410,8609,425,512,2491,2977,3097,1822,6591,1676,935,17902,5982,3377,22585,1632,23236,38201,36852,20318,21196,608233
205,410,317,443,533,2326,1520,1406,735,445,400,648,642,2542,2672,677,1178,574,1922,2341,3112,3060,4933,3705,693,1501,1775,2451,1226,4173,1176,22635,5864,780,15070,24438,786
11635,619,380,1854,228,2334,1660,602,558,482,345,1613,734,1619,2265,5321,1647,1727,4627,2645,2787,3321,1863,7130,1191,1209,987,5462,22241,626,1756,25018,42379,62805,14302,24849,1561
202,581,313,247,2609,2374,530,3017,939,430,359,487,557,942,529,1716,4593,1001,5688,2574,2215,2923,1060,4431,3410,9345,542,2092,1153,20776,21029,42785,39514,986,3338,25142,1097
213,351,930,590,2139,2163,1617,61805,740,416,1654,474,1053,4796,2695,4957,6217,1907,11633,570,3003,3028,1105,3607,2463,5272,1951,5472,13993,527,20875,26594,53600,912,1798,26623,7875
38656,341,411,517,595,2548,1798,789,443,379,350,455,549,826,654,4922,5069,1676,1988,2445,2941,2772,2858,3623,2107,1927,1167,12939,1015,676,19564,26578,60579,856,9608,24891,1132535
9876,525,286,650,2366,2856,3054,1626,555,351,489,439,627,985,1895,4737,4978,1481,1780,2690,9855,3082,1544,3760,1594,1128,7185,1828,3874,25491,2427,26287,6144,14292,23960,3189,4573
215,316,20598,1358,2368,2708,2352,566,3289,440,478,424,632,570,1804,4541,4212,1761,950,3395,2522,2914,1752,349,2853,2140,909,802,1012,3962,4802,25567,19984,1064,15088,21228,749
206,308,767,462,784,2588,2684,589,657,430,432,371,437,2447,849,5038,1551,7940,2317,2619,1586,1198,6588,5580,1877,2189,1249,913,997,609,1399,38571,5165,835,2899,2844,946
207,308,323,341,1657,2189,1459,1500,519,349,441,430,1434,12324,2852,4587,12716,1024,2082,2661,2197,4662,1152917,583,2435,4812,1497,1519,3511,1057,22800,22538,1492,631,9551,28060,675
241,259,11143,1950,12600,2441,2500,1508,1627,353,421,458,663,629,1057,5154,4246,981,877,1627,2752,2939,6510,7313,978,790,1722,12321,14160,931,2140,43125,52720,820,799,29632,671
190,257,435,1371,813,2164,2413,499,749,408,4678,4658,664,322,2975,4970,5285,2581,844,3239,11422,3096,5744,1542,1322,22327,2704,12813,1033,1248,1734,22741,6092,1396,9560,26118,1938
181,232,520,1488,2180,2374,1500,604,3126,358,436,426,625,637,2695,2449,4818,1495,2396,2154,2622,2909,7092,1656,3114,646,1645,1191,1530,1178,1447,24881,53768,893,12967,1158,5454
53349,752,289,593,641,2352,1575,12222,12761,451,425,368,1390,621,4507,366,4851,12244,2091,2661,3201,3082,1382,5807,554,5164,18823,5468,1017,1997,2545,26827,40019,37763,14603,28824,941
31330,828,612,667,313,2368,2199,609,652,506,434,435,1479,491,2682,4786,1102,8177,2065,2929,3217,1187,1794,5636,1581,7039,873,768,1170,755,5775,24639,53194,37283,3871,25485,1254
214,679,391,1527,398,2219,2372,562,460,356,481,928,684,661,2012,4735,5724,1607,4292,2415,1007,1537,375,1994,2302,1350,5792,12644,1143,12259,7513,20826,5293,1035,3977,25598,1231
203,521,258,703,2345,2339,2317,573,3981,450,424,970,1318,1447,2345,2481,2146,6179,5071,2412,4120,2856,14059,5822,700,20871,860,1184,14166,13467,19450,22877,41657,835,524,777,1767
219,584,314,1872,14756,2356,1525,574,3393,981,389,450,1418,1656,647,5362,861,1253,5914,2458,3025,2960,4536,1466,4322,2204,4154,6496,1413,610,1586,24954,1043,953,25922,25175,1769
208,361,771,387,2505,2133,2378,565,1322,440,365,442,648,738,931,5155,5371,8940,2003,286,2871,2961,9824,4287,1648,1005,20679,1869,1280,3881,1109,5224,89222,887,18893,30279,13605
200,913,1602,503,260,2302,2363,12672,542,414,408,449,3197,1355,6053745,396,949,2611,2077,522,2371,1183,550,3934,617,2321,747,6370,1143,13719,5743,25063,54354,1086,798,3787,8954
13184,332,792,582,2504,2298,1680,510,678,348,910,441,458,804,2753,401,336,1260,2026,2197,2342,3306,290,10499,3244,6620,18136,6413,4128,22607,1259,22962,14770,1107,24574,96129,604
195,52294,624,1415,2707,2479,2390,538,2614,509,350,351,1421,628,2644,4800,4807,1637,2145,2366,2333,1386,1507,4477,2257,10685,3327,2022,1210,17082,710,23354,91055,26482,1046,901,2196
10844,580,99089,1295,2461,2501,2497,1369,865,439,943,468,552,720,983,5172,5037,5714,9673,625,2829,1250,6086,4083,3297,1101,4412,11949,1876,1081,1212,26155,1535,927,27297,573,889
48095,335,357,931,626,2393,2645,621,997,440,446,476,555,1127,5299,4996,702,1075,2083,2422,3143,5901,4497,5525,1720,2018,1588,1045,1211,4719,24661,6095,5817,66872,10904,1306,4567
201,370,680,382,442,2385,2541,336,1371,956,472,687,655,1492,2784,5282,6770,997,3185,14320,2456,2897,3367,696,2043,2224,8603,11790,1235,4060,20684,27452,19960,67020,11557,25776,1582
197,528,366,530,439,2359,2482,384,682,433,443,436,1841,634,2831,4545,701,1983,838,2425,2479,1852,340,6489,5028,2417,1756,13744,14091,916,1141,26752,995,65844,14305,24587,980
23048,5402,633,1646,990,2365,2587,2639,75644,359,474,458,875,3436,742,5177,751,1781,1937,2399,3293,2909,5618,438,10239,650,1303,6563,3564,595,22098,5937,52917,1012,24239,4650,1819
657,315,317,714,2299,2176,2220,490,712,392,1525,472,1252,1521,2482,5340,599,9109,2076,1328,3354,2809,2963,5458,2372,2749,8416,31117,12784,619,2441,25981,1100,16525,9595,18145,1997
293,615,604,566,1577,2321,2243,575,357,445,370,396,5619,2381,7805,4697,1206,3378,1963,2670,2663,3013,255,7497,4505,358,1766,11732,1872,1041,1620,27653,41614,1341,1561,101225,28708
216,251,357,661,528,2315,2199,500,852,345,360,432,707,2344,5187,386,6023,4508,1954,2406,3016,596,2997,4300,2287,14808,766,4082,14065,36888,5395,5987,21846,2986,916,1791,1314
243,687,305,638,386,2424,2211,12346,936,1985,443,647,805,652,561,5161,766,977,2247,2848,2300,3300,7867,1759,2007,7912,780,6118,12340,894,21746,27732,54471,964,4625,24532,395585
11289,684,678,1466,300,2156,436,1155,2370,411,1583,666,761,1003,1785,5487,1166,1812,2058,2361,3119,1785,687,4330,1883,1081,1668,2453,1013,628,20667,5642,4572,62304,11344,30333,1176
240,271,395,13502,382,2468,628,2419,559,384,451,364,652,790,12017,5156,1359,4377,1386,2379,1427,908,2942,4255,13453,1022,2366,6406,1156,25047,1293,23542,57034,67219,9473,26938,726
12040,72091,357,461,1944,2175,2189,1443,2948,402,410,668,704,2531,6152,5044,14355,612,539,2421,2404,2752,3629,5497,2429,575,17995,14727,1134,3656,21552,23938,19047,996,11368,28762,1412
